scenario,text,emotion,intensity
I got an A on an exam I studied hard for,I felt relieved when I saw the grade; all that effort paid off.,joy,1
I got an A on an exam I studied hard for,It was nice to know I didn’t mess up after all.,joy,2
I got an A on an exam I studied hard for,I smiled a little when I realized I did better than I thought.,joy,3
I got an A on an exam I studied hard for,"I told myself, “Not bad. I did well this time.”",joy,4
I got an A on an exam I studied hard for,My heart skipped a beat when I saw the big “A” on the screen.,joy,5
I got an A on an exam I studied hard for,"I called my friend to share the good news, feeling pretty proud.",joy,6
I got an A on an exam I studied hard for,I let out a loud “Yes!” when I saw my result.,joy,7
I got an A on an exam I studied hard for,"I immediately texted my parents, knowing they’d be thrilled.",joy,8
I got an A on an exam I studied hard for,I started happy dancing in my room—I couldn’t help myself!,joy,9
I got an A on an exam I studied hard for,I felt like I was on top of the world—this was the best moment of the week!,joy,10
I reunited with a friend I hadn’t seen in years,It was nice to catch up after so long; we exchanged a few updates.,joy,1
I reunited with a friend I hadn’t seen in years,I felt a bit of warmth remembering the good old days.,joy,2
I reunited with a friend I hadn’t seen in years,I smiled when I saw them walking toward me.,joy,3
I reunited with a friend I hadn’t seen in years,"I gave them a small hug, glad to see them again.",joy,4
I reunited with a friend I hadn’t seen in years,"We laughed about how much time had passed, and it felt nostalgic.",joy,5
I reunited with a friend I hadn’t seen in years,I couldn’t help but grin as we started talking like no time had passed.,joy,6
I reunited with a friend I hadn’t seen in years,I got a little emotional as we reminisced about our shared memories.,joy,7
I reunited with a friend I hadn’t seen in years,We couldn’t stop laughing—it felt like we were back in our younger days.,joy,8
I reunited with a friend I hadn’t seen in years,I was so overjoyed that I hugged them tightly and didn’t let go for a while.,joy,9
I reunited with a friend I hadn’t seen in years,Seeing them again made my entire year; I was beaming with happiness.,joy,10
I finally adopted the puppy I’ve always wanted,I felt a little excited seeing the puppy for the first time.,joy,1
I finally adopted the puppy I’ve always wanted,It was nice holding the puppy and knowing it was mine.,joy,2
I finally adopted the puppy I’ve always wanted,I smiled as the puppy licked my hand—it was adorable.,joy,3
I finally adopted the puppy I’ve always wanted,I felt a surge of happiness when I named the puppy.,joy,4
I finally adopted the puppy I’ve always wanted,I couldn’t stop petting the puppy and laughing at its little antics.,joy,5
I finally adopted the puppy I’ve always wanted,I grinned widely as the puppy jumped into my arms.,joy,6
I finally adopted the puppy I’ve always wanted,My heart melted as the puppy cuddled against me.,joy,7
I finally adopted the puppy I’ve always wanted,I felt pure joy as I played with the puppy in its new home.,joy,8
I finally adopted the puppy I’ve always wanted,"I couldn’t contain my excitement, telling everyone about my new companion.",joy,9
I finally adopted the puppy I’ve always wanted,This was the happiest day of my life—my dream puppy was finally mine!,joy,10
My favorite song played on the radio just as I turned it on,It was a nice surprise to hear that familiar intro.,joy,1
My favorite song played on the radio just as I turned it on,"I smiled a little, thinking, “What are the odds?”",joy,2
My favorite song played on the radio just as I turned it on,"I turned the volume up slightly, enjoying the tune.",joy,3
My favorite song played on the radio just as I turned it on,I felt happy humming along to the lyrics.,joy,4
My favorite song played on the radio just as I turned it on,"I sang the chorus softly, feeling the joy build.",joy,5
My favorite song played on the radio just as I turned it on,I cranked up the volume and started tapping my feet to the beat.,joy,6
My favorite song played on the radio just as I turned it on,"I was grinning ear to ear, singing along at full volume.",joy,7
My favorite song played on the radio just as I turned it on,"I danced in my chair, feeling the rhythm in every part of me.",joy,8
My favorite song played on the radio just as I turned it on,"I laughed and shouted, “Yes, this is my jam!”",joy,9
My favorite song played on the radio just as I turned it on,"I was completely over the moon, belting out every lyric like I was on stage.",joy,10
I received a heartfelt thank-you note from someone I helped,It was nice to know they appreciated my efforts.,joy,1
I received a heartfelt thank-you note from someone I helped,"I smiled softly, reading their kind words.",joy,2
I received a heartfelt thank-you note from someone I helped,"I thought, “That was sweet of them to write this.”",joy,3
I received a heartfelt thank-you note from someone I helped,I felt a little glow of happiness as I reread the note.,joy,4
I received a heartfelt thank-you note from someone I helped,My heart warmed knowing I made a positive impact on their day.,joy,5
I received a heartfelt thank-you note from someone I helped,I couldn’t stop smiling as I shared the note with someone close to me.,joy,6
I received a heartfelt thank-you note from someone I helped,I felt genuinely touched by their gratitude—it made my day.,joy,7
I received a heartfelt thank-you note from someone I helped,"I kept the note, wanting to remember this moment forever.",joy,8
I received a heartfelt thank-you note from someone I helped,I felt an overwhelming sense of joy knowing I made a real difference.,joy,9
I received a heartfelt thank-you note from someone I helped,Tears of happiness filled my eyes as I realized how much my help meant to them.,joy,10
My favorite sports team won the championship,It was nice to see them perform so well.,joy,1
My favorite sports team won the championship,I smiled when they scored the winning point.,joy,2
My favorite sports team won the championship,I clapped lightly as they celebrated on the field.,joy,3
My favorite sports team won the championship,I felt a rush of happiness seeing their hard work pay off.,joy,4
My favorite sports team won the championship,I cheered loudly as the final whistle blew.,joy,5
